Skill,Count,Ranking
tableau,24,0.20689655172413793
r,56,0.4827586206896552
excel,42,0.3620689655172414
sql,58,0.5
hadoop,32,0.27586206896551724
python,43,0.3706896551724138
rdbms,5,0.04310344827586207
java,31,0.2672413793103448
spss,5,0.04310344827586207
spark,21,0.1810344827586207
d3,3,0.02586206896551724
hbase,15,0.12931034482758622
cassandra,7,0.0603448275862069
mahout,5,0.04310344827586207
hive,21,0.1810344827586207
c++,10,0.08620689655172414
sas,26,0.22413793103448276
matlab,6,0.05172413793103448
pig,8,0.06896551724137931
scala,7,0.0603448275862069
numpy,1,0.008620689655172414
scipy,2,0.017241379310344827
pandas,1,0.008620689655172414
perl,5,0.04310344827586207
spotfire,4,0.034482758620689655
splunk,1,0.008620689655172414
javascript,1,0.008620689655172414
bash,2,0.017241379310344827
mapreduce,1,0.008620689655172414
