Skill,Count,Ranking
excel,25,0.15432098765432098
python,59,0.36419753086419754
r,57,0.35185185185185186
sas,41,0.25308641975308643
java,36,0.2222222222222222
c++,14,0.08641975308641975
sql,52,0.32098765432098764
hadoop,29,0.17901234567901234
matlab,8,0.04938271604938271
ruby,2,0.012345679012345678
hive,17,0.10493827160493827
saas,1,0.006172839506172839
spark,18,0.1111111111111111
tableau,19,0.11728395061728394
mysql,3,0.018518518518518517
spss,7,0.043209876543209874
scala,11,0.06790123456790123
hbase,12,0.07407407407407407
oozie,2,0.012345679012345678
javascript,6,0.037037037037037035
pig,6,0.037037037037037035
cassandra,4,0.024691358024691357
d3,5,0.030864197530864196
pandas,2,0.012345679012345678
perl,3,0.018518518518518517
bash,1,0.006172839506172839
nosql,2,0.012345679012345678
zookeeper,3,0.018518518518518517
mahout,1,0.006172839506172839
numpy,3,0.018518518518518517
splunk,3,0.018518518518518517
rdbms,2,0.012345679012345678
php,3,0.018518518518518517
scipy,2,0.012345679012345678
spotfire,4,0.024691358024691357
powerpoint,1,0.006172839506172839
