Skill,Count,Ranking
hadoop,51,0.1705685618729097
python,93,0.3110367892976589
spark,14,0.046822742474916385
excel,81,0.2709030100334448
spss,17,0.056856187290969896
hive,14,0.046822742474916385
r,110,0.36789297658862874
java,44,0.14715719063545152
numpy,23,0.07692307692307693
sql,120,0.4013377926421405
ruby,4,0.013377926421404682
matlab,29,0.09698996655518395
php,6,0.020066889632107024
perl,5,0.016722408026755852
scala,8,0.026755852842809364
sas,63,0.21070234113712374
javascript,8,0.026755852842809364
pandas,23,0.07692307692307693
scipy,21,0.07023411371237458
tableau,20,0.06688963210702341
c++,13,0.043478260869565216
nosql,1,0.0033444816053511705
rdbms,6,0.020066889632107024
hbase,6,0.020066889632107024
spotfire,4,0.013377926421404682
d3,4,0.013377926421404682
oozie,5,0.016722408026755852
flume,5,0.016722408026755852
pig,5,0.016722408026755852
mapreduce,4,0.013377926421404682
cassandra,5,0.016722408026755852
mahout,4,0.013377926421404682
