Skill,Count,Ranking
java,77,0.21448467966573817
python,79,0.2200557103064067
r,89,0.2479108635097493
scala,35,0.09749303621169916
tableau,51,0.14206128133704735
sas,76,0.2116991643454039
spark,33,0.09192200557103064
hbase,15,0.04178272980501393
hadoop,44,0.12256267409470752
sql,75,0.20891364902506965
pandas,2,0.005571030640668524
matlab,11,0.03064066852367688
hive,22,0.06128133704735376
spss,13,0.036211699164345405
pig,8,0.022284122562674095
d3,2,0.005571030640668524
cassandra,4,0.011142061281337047
perl,7,0.019498607242339833
excel,38,0.10584958217270195
php,2,0.005571030640668524
mysql,1,0.002785515320334262
bash,1,0.002785515320334262
c++,18,0.05013927576601671
scipy,1,0.002785515320334262
numpy,1,0.002785515320334262
mapreduce,1,0.002785515320334262
javascript,7,0.019498607242339833
rdbms,2,0.005571030640668524
mahout,2,0.005571030640668524
powerpoint,3,0.008356545961002786
flume,2,0.005571030640668524
oozie,1,0.002785515320334262
spotfire,8,0.022284122562674095
saas,1,0.002785515320334262
ruby,2,0.005571030640668524
