Skill,Count,Ranking
hadoop,32,0.29357798165137616
scala,9,0.08256880733944955
r,44,0.4036697247706422
spark,20,0.1834862385321101
python,44,0.4036697247706422
c++,10,0.09174311926605505
sas,25,0.22935779816513763
java,25,0.22935779816513763
d3,4,0.03669724770642202
excel,19,0.1743119266055046
matlab,9,0.08256880733944955
sql,34,0.3119266055045872
tableau,21,0.1926605504587156
cassandra,3,0.027522935779816515
zookeeper,1,0.009174311926605505
splunk,3,0.027522935779816515
pandas,5,0.045871559633027525
hbase,5,0.045871559633027525
pig,8,0.07339449541284404
hive,11,0.10091743119266056
mysql,1,0.009174311926605505
ruby,3,0.027522935779816515
spss,2,0.01834862385321101
bash,2,0.01834862385321101
javascript,1,0.009174311926605505
spotfire,1,0.009174311926605505
oozie,1,0.009174311926605505
numpy,1,0.009174311926605505
perl,3,0.027522935779816515
rdbms,3,0.027522935779816515
php,4,0.03669724770642202
flume,2,0.01834862385321101
saas,2,0.01834862385321101
