skill,Hyderabad_Ranking,Pune_Ranking,Delhi_Ranking,Bangalore_Ranking,Chennai_Ranking
java,0.21448467966573814,0.22935779816513766,0.14715719063545152,0.2672413793103448,0.2222222222222222
python,0.2200557103064067,0.4036697247706422,0.3110367892976589,0.3706896551724138,0.3641975308641976
r,0.2479108635097493,0.4036697247706422,0.3678929765886288,0.4827586206896552,0.35185185185185186
scala,0.09749303621169916,0.08256880733944955,0.026755852842809364,0.0603448275862069,0.06790123456790123
tableau,0.14206128133704735,0.1926605504587156,0.06688963210702341,0.20689655172413796,0.11728395061728394
sas,0.2116991643454039,0.22935779816513766,0.21070234113712372,0.2241379310344828,0.25308641975308643
spark,0.09192200557103064,0.1834862385321101,0.04682274247491639,0.1810344827586207,0.1111111111111111
hbase,0.04178272980501393,0.045871559633027525,0.020066889632107024,0.12931034482758622,0.07407407407407407
hadoop,0.12256267409470753,0.29357798165137616,0.1705685618729097,0.27586206896551724,0.17901234567901236
sql,0.20891364902506965,0.3119266055045872,0.4013377926421405,0.5,0.32098765432098764
pandas,0.0055710306406685246,0.045871559633027525,0.07692307692307693,0.008620689655172414,0.012345679012345678
matlab,0.030640668523676882,0.08256880733944955,0.09698996655518397,0.05172413793103448,0.04938271604938271
hive,0.061281337047353765,0.10091743119266056,0.04682274247491639,0.1810344827586207,0.10493827160493828
spss,0.036211699164345405,0.01834862385321101,0.0568561872909699,0.04310344827586207,0.043209876543209874
pig,0.02228412256267409,0.07339449541284404,0.016722408026755852,0.06896551724137931,0.037037037037037035
d3,0.0055710306406685246,0.03669724770642202,0.013377926421404682,0.02586206896551724,0.0308641975308642
cassandra,0.011142061281337049,0.027522935779816515,0.016722408026755852,0.0603448275862069,0.02469135802469136
perl,0.019498607242339837,0.027522935779816515,0.016722408026755852,0.04310344827586207,0.018518518518518517
excel,0.10584958217270196,0.1743119266055046,0.2709030100334448,0.3620689655172414,0.15432098765432098
php,0.0055710306406685246,0.03669724770642202,0.020066889632107024,,
mysql,0.0027855153203342623,0.009174311926605505,,,
bash,0.0027855153203342623,0.01834862385321101,,0.017241379310344827,0.006172839506172839
c++,0.05013927576601671,0.09174311926605504,0.043478260869565216,0.08620689655172414,0.08641975308641975
scipy,0.0027855153203342623,,,,
numpy,0.0027855153203342623,0.009174311926605505,0.07692307692307693,0.008620689655172414,0.018518518518518517
mapreduce,0.0027855153203342623,,,,
javascript,0.019498607242339837,0.009174311926605505,0.026755852842809364,0.008620689655172414,0.037037037037037035
rdbms,0.0055710306406685246,0.027522935779816515,0.020066889632107024,0.04310344827586207,0.012345679012345678
mahout,0.0055710306406685246,,,,
powerpoint,0.008356545961002786,,,,
flume,0.0055710306406685246,0.01834862385321101,0.016722408026755852,,
oozie,0.0027855153203342623,0.009174311926605505,0.016722408026755852,,
spotfire,0.02228412256267409,0.009174311926605505,0.013377926421404682,0.03448275862068965,0.02469135802469136
saas,0.0027855153203342623,0.01834862385321101,,,
ruby,0.0055710306406685246,0.027522935779816515,0.013377926421404682,,
